,0,1
0,Andaman and Nicobar Islands,AN
1,Andhra Pradesh,AP
2,Arunachal Pradesh,AR
3,Assam,AS
4,Bihar,BR
5,Chandigarh,CG
6,Chhattisgarh,CH
7,Dadra and Nagar Haveli,DN
8,Daman and Diu,DD
9,Delhi,DL
10,Goa,GA
11,Gujarat,GJ
12,Haryana,HR
13,Himachal Pradesh,HP
14,Jammu and Kashmir,JK
15,Jharkhand,JH
16,Karnataka,KA
17,Kerala,KL
18,Ladakh,LA
19,Lakshadweep,LD
20,Madhya Pradesh,MP
21,Maharashtra,MH
22,Manipur,MN
23,Meghalaya,ML
24,Mizoram,MZ
25,Nagaland,NL
26,Odisha,OR
27,Puducherry,PY
28,Punjab,PB
29,Rajasthan,RJ
30,Sikkim,SK
31,Tamil Nadu,TN
32,Telangana,TS
33,Tripura,TR
34,Uttar Pradesh,UP
35,Uttarakhand,UK
36,West Bengal,WB
