"region","Total Confirmed","Total Recovered","Total Deaths","Total Active","New Confirmed","New Recovered","New Deaths","New Active","Perc Increase Confirmed","Perc Increase Deaths"
"Australia",6547,4124,67,2356,0,0,0,0,0,0
"Canada",39402,13188,1909,24305,1744,645,183,916,0,0
"China",73752,68039,4547,1166,13,43,0,-30,0,0
"Denmark",196,189,0,7,0,2,0,-2,0,NA
"France",1247,638,33,576,42,11,6,25,0,0
"Netherlands",183,74,13,96,0,2,0,-2,0,0
"United Kingdom",1128,638,41,449,15,192,0,-177,0,0
"US",812036,75204,44444,692388,27710,2875,2350,22485,0,0
"Afghanistan",1092,150,36,906,66,15,0,51,0,0
"Albania",609,345,26,238,25,18,0,7,0,0
"Algeria",2811,1152,392,1267,93,53,8,32,0,0
"Andorra",717,282,37,398,0,34,0,-34,0,0
"Angola",24,6,2,16,0,0,0,0,0,0
"Antigua and Barbuda",23,7,3,13,0,4,0,-4,0,0
"Argentina",3031,840,147,2044,90,103,11,-24,0,0
"Armenia",1401,609,24,768,62,29,2,31,0,0
"Australia_Australian Capital Territory",103,88,3,12,0,0,0,0,0,0
"Australia_New South Wales",2926,1379,26,1521,0,0,0,0,0,0
"Australia_Northern Territory",28,9,0,19,0,0,0,0,0,NA
"Australia_Queensland",1015,738,6,271,0,0,0,0,0,0
"Australia_South Australia",435,331,4,100,0,0,0,0,0,0
"Australia_Tasmania",180,67,7,106,0,0,0,0,0,0
"Australia_Victoria",1319,1172,14,133,0,0,0,0,0,0
"Australia_Western Australia",541,340,7,194,0,0,0,0,0,0
"Austria",14873,10971,491,3411,78,340,21,-283,0,0
"Azerbaijan",1480,865,20,595,44,74,1,-31,0,0
"Bahamas",65,12,9,44,5,1,0,4,0,0
"Bahrain",1973,784,7,1182,66,15,0,51,0,0
"Bangladesh",3382,87,110,3185,434,2,9,423,0,0
"Barbados",75,25,5,45,0,6,0,-6,0,0
"Belarus",6723,577,55,6091,459,63,4,392,0,0
"Belgium",40956,9002,5998,25956,973,107,170,696,0,0
"Belize",18,2,2,14,0,0,0,0,0,0
"Benin",54,27,1,26,0,0,0,0,0,0
"Bhutan",6,2,0,4,1,0,0,1,0,NA
"Bolivia",598,37,34,527,34,6,1,27,0,0
"Bosnia and Herzegovina",1342,437,51,854,33,56,2,-25,0,0
"Botswana",20,0,1,19,0,0,0,0,0,0
"Brazil",43079,22991,2741,17347,2336,861,154,1321,0,0
"Brunei",138,116,1,21,0,0,0,0,0,0
"Bulgaria",975,170,45,760,46,3,2,41,0,0
"Burkina Faso",600,362,38,200,19,5,0,14,0,0
"Burma",121,7,5,109,2,0,0,2,0,0
"Burundi",5,4,1,0,0,0,0,0,0,0
"Cabo Verde",68,1,1,66,1,0,0,1,0,0
"Cambodia",122,110,0,12,0,3,0,-3,0,NA
"Cameroon",1163,329,43,791,0,24,1,-25,0,0
"Canada_Alberta",3095,0,61,3034,187,0,2,185,0,0
"Canada_British Columbia",1724,0,87,1637,77,0,5,72,0,0
"Canada_Grand Princess",13,0,0,13,0,0,0,0,0,NA
"Canada_Manitoba",255,0,6,249,1,0,0,1,0,0
"Canada_New Brunswick",118,0,0,118,0,0,0,0,0,NA
"Canada_Newfoundland and Labrador",257,0,3,254,0,0,0,0,0,0
"Canada_Northwest Territories",5,0,0,5,0,0,0,0,0,NA
"Canada_Nova Scotia",737,0,10,727,16,0,1,15,0,0
"Canada_Ontario",12715,0,694,12021,652,0,70,582,0,0
