"region","Total Confirmed","Total Recovered","Total Deaths","Total Active","New Confirmed","New Recovered","New Deaths","New Active"
"US_Alabama",3734,0,99,3635,171,0,6,165
"US_Alaska",277,0,8,269,5,0,0,5
"Canada_Alberta",1732,0,46,1686,165,0,6,159
"United Kingdom_Anguilla",3,1,0,2,0,1,0,-1
"US_Arizona",3705,0,122,3583,163,0,7,156
"US_Arkansas",1410,0,29,1381,130,0,2,128
"Netherlands_Aruba",92,32,0,60,0,0,0,0
"Australia_Australian Capital Territory",102,59,2,41,-1,0,0,-1
"China_Beijing",589,484,8,97,0,5,0,-5
"United Kingdom_Bermuda",57,30,5,22,0,1,1,-2
"Netherlands_Bonaire, Sint Eustatius and Saba",3,0,0,3,0,0,0,0
"Canada_British Columbia",1490,0,69,1421,45,0,11,34
"United Kingdom_British Virgin Islands",3,2,0,1,0,0,0,0
"US_California",23931,0,715,23216,1136,0,74,1062
"United Kingdom_Cayman Islands",53,6,1,46,0,0,0,0
"United Kingdom_Channel Islands",436,48,9,379,5,0,0,5
"US_Colorado",7691,0,306,7385,384,0,17,367
"US_Connecticut",13381,0,602,12779,1346,0,48,1298
"Netherlands_Curacao",14,8,1,5,0,0,0,0
"US_Delaware",1758,0,41,1717,133,0,6,127
"US_Diamond Princess",49,0,0,49,0,0,0,0
"US_District of Columbia",1955,0,52,1903,80,0,2,78
"United Kingdom_Falkland Islands (Malvinas)",5,1,0,4,0,0,0,0
"Denmark_Faroe Islands",184,157,0,27,0,0,0,0
"US_Florida",21019,0,499,122520,1124,0,38,103086
"France_French Guiana",86,51,0,35,0,0,0,0
"France_French Polynesia",55,0,0,55,2,0,0,2
"China_Fujian",352,325,1,26,0,4,0,-4
"US_Georgia",13314,0,465,12849,862,0,32,830
"United Kingdom_Gibraltar",129,84,0,45,0,0,0,0
"US_Grand Princess",116,0,0,116,0,0,0,0
"Canada_Grand Princess",116,0,0,116,0,0,0,0
"Denmark_Greenland",11,11,0,0,0,0,0,0
"France_Guadeloupe",143,67,8,68,0,0,0,0
"US_Guam",133,0,5,128,0,0,0,0
"China_Guangdong",1555,1454,8,93,3,11,0,-8
"US_Hawaii",504,0,9,495,5,0,0,5
"China_Heilongjiang",740,470,13,257,56,0,0,56
"China_Hong Kong",1009,360,4,645,5,0,0,5
"China_Hubei",67803,64338,3221,244,0,57,2,-59
"US_Idaho",1425,0,27,1398,18,0,0,18
"US_Illinois",22024,0,798,21226,1172,0,78,1094
"US_Indiana",8359,0,350,8009,431,0,7,424
"China_Inner Mongolia",190,83,1,106,1,0,0,1
"US_Iowa",1709,0,41,1668,122,0,0,122
"United Kingdom_Isle of Man",242,131,2,109,14,19,0,-5
"China_Jilin",100,96,1,3,1,0,0,1
"US_Kansas",1390,0,62,1328,46,0,6,40
"US_Kentucky",2018,0,113,1905,55,0,16,39
"US_Louisiana",21016,0,884,20132,421,0,44,377
"US_Maine",698,0,19,679,65,0,0,65
"Canada_Manitoba",246,0,4,242,4,0,0,4
"France_Martinique",157,50,6,101,2,0,0,2
"US_Maryland",8936,0,262,8674,711,0,26,685
"US_Massachusetts",26867,0,844,26023,1392,0,88,1304
"France_Mayotte",207,59,3,145,11,0,0,11
"US_Michigan",25243,0,1594,23649,999,0,115,884
"US_Minnesota",1621,0,70,1551,0,0,0,0
"US_Mississippi",2942,0,98,2844,161,0,2,159
"US_Missouri",4515,0,123,4392,246,0,5,241
"US_Montana",394,0,7,387,7,0,1,6
"United Kingdom_Montserrat",11,1,0,10,2,1,0,1
"US_Nebraska",814,0,17,797,23,0,0,23
"US_Nevada",2990,0,114,2876,154,0,2,152
"Canada_New Brunswick",116,0,0,116,2,0,0,2
"France_New Caledonia",18,1,0,17,0,0,0,0
"US_New Hampshire",985,0,23,962,56,0,0,56
"US_New Jersey",64584,0,2443,62141,2734,0,93,2641
"US_New Mexico",1262,0,26,1236,17,0,0,17
"Australia_New South Wales",2863,4,25,2834,6,0,1,5
"US_New York",195749,0,10058,185691,6716,0,673,6043
"Canada_Newfoundland and Labrador",244,0,3,241,2,0,0,2
"US_North Carolina",4886,0,94,4792,316,0,5,311
"US_North Dakota",331,0,8,323,23,0,1,22
"US_Northern Mariana Islands",11,0,2,9,0,0,0,0
"Australia_Northern Territory",28,2,0,26,0,0,0,0
"Canada_Northwest Territories",5,0,0,5,0,0,0,0
"Canada_Nova Scotia",474,0,3,471,29,0,1,28
"US_Ohio",6975,0,274,6701,371,0,21,350
"US_Oklahoma",2068,0,99,1969,98,0,3,95
"Canada_Ontario",7470,0,291,7179,421,0,17,404
"US_Oregon",1583,0,53,1530,56,0,1,55
"US_Pennsylvania",24292,0,589,23703,1354,0,32,1322
"Canada_Prince Edward Island",25,0,0,25,0,0,0,0
"US_Puerto Rico",903,0,45,858,6,0,1,5
"Canada_Quebec",13557,0,360,13197,711,0,32,679
"Australia_Queensland",987,372,5,610,4,0,0,4
"US_Recovered",0,51240,0,-51240,0,11129,0,-11129
"Canada_Recovered",0,51240,0,-51240,0,11129,0,-11129
"France_Reunion",391,40,0,351,2,0,0,2
"US_Rhode Island",2665,0,63,2602,0,0,0,0
"France_Saint Barthelemy",6,4,0,2,0,0,0,0
"France_Saint Pierre and Miquelon",1,0,0,1,0,0,0,0
"Canada_Saskatchewan",300,0,4,296,2,0,0,2
"China_Shanghai",618,446,7,165,11,0,0,11
"Netherlands_Sint Maarten",50,5,9,36,0,0,0,0
"Australia_South Australia",429,179,4,246,0,0,0,0
"US_South Carolina",3391,0,82,3309,71,0,0,71
"US_South Dakota",867,0,6,861,137,0,0,137
"France_St Martin",32,11,2,19,0,0,0,0
"Australia_Tasmania",144,48,5,91,11,0,0,11
"US_Tennessee",5610,0,109,5501,102,0,3,99
"US_Texas",14274,0,305,13969,597,0,22,575
