"region","Total Confirmed","Total Recovered","Total Deaths","Total Active","New Confirmed","New Recovered","New Deaths","New Active","Perc Increase Confirmed","Perc Increase Deaths"
"Australia",6547,4124,67,2356,0,0,0,0,0,0
"Canada",37658,12543,1726,23389,2025,696,162,1167,0,0
"China",74183,68422,4553,1208,11,53,0,-42,0,0
"Denmark",196,187,0,9,0,0,0,0,0,NA
"France",1205,627,27,551,2,22,1,-21,0,0
"Netherlands",183,72,13,98,0,0,0,0,0,0
"United Kingdom",1113,446,41,626,8,10,6,-8,0,0
"US",784326,72329,42094,669903,25240,1992,1433,21815,0,0
"Afghanistan",1026,135,36,855,30,4,3,23,0,0
"Albania",584,327,26,231,22,13,0,9,0,0
"Algeria",2718,1099,384,1235,89,52,9,28,0,0
"Andorra",717,248,37,432,4,13,1,-10,0,0
"Angola",24,6,2,16,0,0,0,0,0,0
"Antigua and Barbuda",23,3,3,17,0,0,0,0,0,0
"Argentina",2941,737,136,2068,102,28,4,70,0,0
"Armenia",1339,580,22,737,48,35,2,11,0,0
"Australia_Australian Capital Territory",103,88,3,12,0,0,0,0,0,0
"Australia_New South Wales",2926,1379,26,1521,0,0,0,0,0,0
"Australia_Northern Territory",28,9,0,19,0,0,0,0,0,NA
"Australia_Queensland",1015,738,6,271,0,0,0,0,0,0
"Australia_South Australia",435,331,4,100,0,0,0,0,0,0
"Australia_Tasmania",180,67,7,106,0,0,0,0,0,0
"Australia_Victoria",1319,1172,14,133,0,0,0,0,0,0
"Australia_Western Australia",541,340,7,194,0,0,0,0,0,0
"Austria",14795,10631,470,3694,46,130,18,-102,0,0
"Azerbaijan",1436,791,19,626,38,79,0,-41,0,0
"Bahamas",60,11,9,40,5,1,0,4,0,0
"Bahrain",1907,769,7,1131,26,10,0,16,0,0
"Bangladesh",2948,85,101,2762,492,10,10,472,0,0
"Barbados",75,19,5,51,0,2,0,-2,0,0
"Belarus",6264,514,51,5699,1485,20,4,1461,0,0
"Belgium",39983,8895,5828,25260,1487,138,145,1204,0,0
"Belize",18,2,2,14,0,0,0,0,0,0
"Benin",54,27,1,26,19,9,0,10,0,0
"Bhutan",5,2,0,3,0,0,0,0,0,NA
"Bolivia",564,31,33,500,44,0,1,43,0,0
"Bosnia and Herzegovina",1309,381,49,879,24,34,1,-11,0,0
"Botswana",20,0,1,19,0,0,0,0,0,0
"Brazil",40743,22130,2587,16026,2089,0,125,1964,0,0
"Brunei",138,116,1,21,0,1,0,-1,0,0
"Bulgaria",929,167,43,719,35,6,1,28,0,0
"Burkina Faso",581,357,38,186,5,19,2,-16,0,0
"Burma",119,7,5,107,8,0,0,8,0,0
"Burundi",5,4,1,0,0,4,0,-4,0,0
"Cabo Verde",67,1,1,65,6,0,0,6,0,0
"Cambodia",122,107,0,15,0,2,0,-2,0,NA
"Cameroon",1163,305,42,816,146,0,0,146,0,0
"Canada_Alberta",2908,0,59,2849,105,0,8,97,0,0
"Canada_British Columbia",1647,0,82,1565,0,0,1,-1,0,0
"Canada_Grand Princess",13,0,0,13,0,0,0,0,0,NA
"Canada_Manitoba",254,0,6,248,0,0,1,-1,0,0
"Canada_New Brunswick",118,0,0,118,0,0,0,0,0,NA
"Canada_Newfoundland and Labrador",257,0,3,254,0,0,0,0,0,0
"Canada_Northwest Territories",5,0,0,5,0,0,0,0,0,NA
"Canada_Nova Scotia",721,0,9,712,46,0,0,46,0,0
"Canada_Ontario",12063,0,624,11439,502,0,33,469,0,0
"Canada_Prince Edward Island",26,0,0,26,0,0,0,0,0,NA
"Canada_Quebec",19319,0,939,18380,1369,0,119,1250,0,0
"Canada_Recovered",0,12543,0,-12543,0,696,0,-696,NA,NA
"Canada_Saskatchewan",316,0,4,312,1,0,0,1,0,0
"Canada_Yukon",11,0,0,11,2,0,0,2,0,NA
"Central African Republic",12,4,0,8,0,0,0,0,0,NA
"Chad",33,8,0,25,0,0,0,0,0,NA
"Chile",10507,4676,139,5692,419,338,6,75,0,0
"China_Beijing",593,514,8,71,0,4,0,-4,0,0
"China_Guangdong",1581,1494,8,79,1,4,0,-3,0,0
"China_Heilongjiang",905,472,13,420,7,0,0,7,0,0
"China_Hong Kong",1025,630,4,391,0,28,0,-28,0,0
"China_Hubei",68128,63511,4512,105,0,4,0,-4,0,0
"China_Macau",45,22,0,23,0,2,0,-2,0,NA
