Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,type
World,1929633,"+5,785",119785.0,167.0,453018.0,1356830,main_table_countries_today
USA,587173,+232,23644.0,4.0,36948.0,526581,main_table_countries_today
Spain,170099,,17756.0,,64727.0,87616,main_table_countries_today
Italy,159516,,20465.0,,35435.0,103616,main_table_countries_today
France,136779,,14967.0,,27718.0,94094,main_table_countries_today
Germany,130072,,3194.0,,68200.0,58678,main_table_countries_today
UK,88621,,11329.0,,,76948,main_table_countries_today
Iran,73303,,4585.0,,45983.0,22735,main_table_countries_today
Turkey,61049,,1296.0,,3957.0,55796,main_table_countries_today
Belgium,30589,,3903.0,,6707.0,19979,main_table_countries_today
Netherlands,26551,,2823.0,,250.0,23478,main_table_countries_today
Switzerland,25688,,1138.0,,13700.0,10850,main_table_countries_today
Canada,25680,,780.0,,7756.0,17144,main_table_countries_today
Brazil,23723,+293,1355.0,27.0,2979.0,19389,main_table_countries_today
Russia,21102,"+2,774",170.0,22.0,1694.0,19238,main_table_countries_today
Portugal,16934,,535.0,,277.0,16122,main_table_countries_today
Austria,14083,+42,368.0,,7343.0,6372,main_table_countries_today
Israel,11868,+282,117.0,1.0,2000.0,9751,main_table_countries_today
Sweden,10948,,919.0,,381.0,9648,main_table_countries_today
Ireland,10647,,365.0,,25.0,10257,main_table_countries_today
S. Korea,10564,+27,222.0,5.0,7534.0,2808,main_table_countries_today
India,10541,+88,358.0,,1205.0,8978,main_table_countries_today
Peru,9784,,216.0,,2642.0,6926,main_table_countries_today
Japan,7645,+27,143.0,,799.0,6703,main_table_countries_today
Ecuador,7529,,355.0,,597.0,6577,main_table_countries_today
Chile,7525,,82.0,,2367.0,5076,main_table_countries_today
Poland,7049,+115,251.0,6.0,618.0,6180,main_table_countries_today
Romania,6633,,331.0,,914.0,5388,main_table_countries_today
Norway,6605,+2,134.0,,32.0,6439,main_table_countries_today
Australia,6400,+41,61.0,,3598.0,2741,main_table_countries_today
Denmark,6318,,285.0,,2235.0,3798,main_table_countries_today
Czechia,6059,,147.0,4.0,527.0,5385,main_table_countries_today
Pakistan,5716,+220,96.0,3.0,1378.0,4242,main_table_countries_today
Philippines,5223,+291,335.0,20.0,295.0,4593,main_table_countries_today
Mexico,5014,+353,332.0,36.0,1964.0,2718,main_table_countries_today
Saudi Arabia,4934,,65.0,,805.0,4064,main_table_countries_today
Malaysia,4817,,77.0,,2276.0,2464,main_table_countries_today
Indonesia,4557,,399.0,,380.0,3778,main_table_countries_today
UAE,4521,,25.0,,852.0,3644,main_table_countries_today
Serbia,4054,,85.0,,400.0,3569,main_table_countries_today
Panama,3472,,94.0,,61.0,3317,main_table_countries_today
Ukraine,3372,+270,98.0,5.0,119.0,3155,main_table_countries_today
Luxembourg,3292,,69.0,,500.0,2723,main_table_countries_today
Qatar,3231,,7.0,,334.0,2890,main_table_countries_today
Dominican Republic,3167,,177.0,,152.0,2838,main_table_countries_today
Finland,3064,,59.0,,300.0,2705,main_table_countries_today
Belarus,2919,,29.0,,203.0,2687,main_table_countries_today
Singapore,2918,,9.0,,586.0,2323,main_table_countries_today
Colombia,2852,,112.0,,319.0,2421,main_table_countries_today
Thailand,2613,+34,41.0,1.0,1405.0,1167,main_table_countries_today
Argentina,2277,,98.0,,515.0,1664,main_table_countries_today
South Africa,2272,,27.0,,410.0,1835,main_table_countries_today
Egypt,2190,,164.0,,589.0,1437,main_table_countries_today
Greece,2145,,99.0,,269.0,1777,main_table_countries_today
Algeria,1983,,313.0,,601.0,1069,main_table_countries_today
Morocco,1763,,126.0,,203.0,1434,main_table_countries_today
Moldova,1712,,36.0,1.0,134.0,1542,main_table_countries_today
Iceland,1711,,8.0,,933.0,770,main_table_countries_today
Croatia,1650,,25.0,,400.0,1225,main_table_countries_today
Hungary,1512,+54,122.0,13.0,122.0,1268,main_table_countries_today
Iraq,1378,,78.0,,717.0,583,main_table_countries_today
Estonia,1373,+41,31.0,3.0,115.0,1227,main_table_countries_today
New Zealand,1366,+17,9.0,4.0,628.0,729,main_table_countries_today
Bahrain,1361,,7.0,1.0,591.0,763,main_table_countries_today
Kuwait,1300,,2.0,,150.0,1148,main_table_countries_today
Slovenia,1212,,55.0,,152.0,1005,main_table_countries_today
Kazakhstan,1179,+88,14.0,2.0,142.0,1023,main_table_countries_today
Azerbaijan,1148,,12.0,,289.0,847,main_table_countries_today
Bosnia and Herzegovina,1077,+40,39.0,,218.0,820,main_table_countries_today
Lithuania,1070,+8,24.0,,101.0,945,main_table_countries_today
Armenia,1067,+28,16.0,2.0,265.0,786,main_table_countries_today
Uzbekistan,1054,+56,4.0,,89.0,961,main_table_countries_today
Hong Kong,1010,,4.0,,397.0,609,main_table_countries_today
North Macedonia,854,,38.0,,44.0,772,main_table_countries_today
Cameroon,848,,12.0,,98.0,738,main_table_countries_today
Slovakia,816,+47,2.0,,107.0,707,main_table_countries_today
Oman,813,+86,4.0,,130.0,679,main_table_countries_today
Bangladesh,803,,39.0,,42.0,722,main_table_countries_today
Tunisia,726,,34.0,,43.0,649,main_table_countries_today
Cuba,726,,21.0,,121.0,584,main_table_countries_today
Diamond Princess,712,,12.0,,639.0,61,main_table_countries_today
Bulgaria,695,+10,35.0,3.0,81.0,579,main_table_countries_today
Afghanistan,665,,21.0,,32.0,612,main_table_countries_today
Cyprus,662,,12.0,,65.0,585,main_table_countries_today
Latvia,657,+2,5.0,,16.0,636,main_table_countries_today
Andorra,646,,29.0,,128.0,489,main_table_countries_today
Lebanon,632,,20.0,,80.0,532,main_table_countries_today
Ivory Coast,626,,6.0,,89.0,531,main_table_countries_today
Costa Rica,612,,3.0,,62.0,547,main_table_countries_today
Ghana,566,,8.0,,4.0,554,main_table_countries_today
Niger,548,,13.0,,86.0,449,main_table_countries_today
Burkina Faso,515,,27.0,,161.0,327,main_table_countries_today
Uruguay,483,,8.0,,248.0,227,main_table_countries_today
Albania,467,,23.0,,232.0,212,main_table_countries_today
Channel Islands,436,,9.0,,48.0,379,main_table_countries_today
Kyrgyzstan,430,+11,5.0,,71.0,354,main_table_countries_today
Honduras,407,+10,26.0,1.0,7.0,374,main_table_countries_today
Taiwan,393,,6.0,,124.0,263,main_table_countries_today
Jordan,391,,7.0,,215.0,169,main_table_countries_today
Réunion,391,,,,40.0,351,main_table_countries_today
Malta,384,,3.0,,44.0,337,main_table_countries_today
San Marino,371,,36.0,,53.0,282,main_table_countries_today
Bolivia,354,+24,28.0,1.0,6.0,320,main_table_countries_today
Nigeria,343,,10.0,,91.0,242,main_table_countries_today
Mauritius,324,,9.0,,42.0,273,main_table_countries_today
Guinea,319,,,,17.0,302,main_table_countries_today
Palestine,308,,2.0,,58.0,248,main_table_countries_today
Djibouti,298,,2.0,,41.0,255,main_table_countries_today
Georgia,296,+24,3.0,,68.0,225,main_table_countries_today
Senegal,291,,2.0,,178.0,111,main_table_countries_today
Montenegro,278,+4,4.0,1.0,5.0,269,main_table_countries_today
Vietnam,265,,,,166.0,99,main_table_countries_today
Isle of Man,242,,2.0,,131.0,109,main_table_countries_today
DRC,235,,20.0,,17.0,198,main_table_countries_today
Sri Lanka,218,+1,7.0,,59.0,152,main_table_countries_today
Kenya,208,,9.0,,40.0,159,main_table_countries_today
Mayotte,207,,3.0,,59.0,145,main_table_countries_today
Venezuela,189,,9.0,,110.0,70,main_table_countries_today
Faeroe Islands,184,,,,163.0,21,main_table_countries_today
Guatemala,167,+11,5.0,,19.0,143,main_table_countries_today
Paraguay,159,+12,7.0,1.0,22.0,130,main_table_countries_today
Martinique,157,,6.0,,50.0,101,main_table_countries_today
El Salvador,149,+12,6.0,,25.0,118,main_table_countries_today
Guadeloupe,145,,8.0,,67.0,70,main_table_countries_today
Brunei,136,,1.0,,107.0,28,main_table_countries_today
Gibraltar,129,,,,93.0,36,main_table_countries_today
Rwanda,127,,,,42.0,85,main_table_countries_today
Mali,123,,10.0,,26.0,87,main_table_countries_today
Cambodia,122,,,,91.0,31,main_table_countries_today
Trinidad and Tobago,113,,8.0,,17.0,88,main_table_countries_today
Madagascar,106,,,,21.0,85,main_table_countries_today
Monaco,93,,1.0,,6.0,86,main_table_countries_today
Aruba,92,,,,32.0,60,main_table_countries_today
French Guiana,86,,,,51.0,35,main_table_countries_today
Liechtenstein,79,,1.0,,55.0,23,main_table_countries_today
Togo,77,,3.0,,29.0,45,main_table_countries_today
Ethiopia,74,,3.0,,14.0,57,main_table_countries_today
Jamaica,73,,4.0,,19.0,50,main_table_countries_today
Barbados,72,,4.0,,13.0,55,main_table_countries_today
Myanmar,62,,4.0,,2.0,56,main_table_countries_today
Congo,60,,5.0,,5.0,50,main_table_countries_today
Somalia,60,,2.0,,2.0,56,main_table_countries_today
Liberia,59,,6.0,,4.0,49,main_table_countries_today
Bermuda,57,,5.0,,30.0,22,main_table_countries_today
Gabon,57,,1.0,,1.0,55,main_table_countries_today
French Polynesia,55,,,,,55,main_table_countries_today
Cayman Islands,54,,1.0,,6.0,47,main_table_countries_today
Uganda,54,,,,7.0,47,main_table_countries_today
Sint Maarten,52,+2,9.0,,5.0,38,main_table_countries_today
Bahamas,49,,8.0,,6.0,35,main_table_countries_today
Tanzania,49,,3.0,,7.0,39,main_table_countries_today
Guyana,47,,6.0,,8.0,33,main_table_countries_today
Zambia,45,,2.0,,30.0,13,main_table_countries_today
Macao,45,,,,10.0,35,main_table_countries_today
Haiti,40,,3.0,,,37,main_table_countries_today
Guinea-Bissau,38,,,,,38,main_table_countries_today
Benin,35,,1.0,,5.0,29,main_table_countries_today
Eritrea,34,,,,,34,main_table_countries_today
